"Tw_id","Tweet","Label"
"544296135180169216","@julia_goo_lia @BBCWorld clarified that earlier. Cheers","questioning"
"500454975185879040","@DostoevskyShade @AkaDimiX @140elect I think that's all you got time for.","commenting"
"553210433570881536","@PolicemansLot @Independent absolutely disgusting! Using someone's absolutely terrifying murder for own gain. What about their family?","commenting"
"553593015416008704","@HuffingtonPost Some good news!","support"
"500393155066626048","@andybankertv @FOX2now Any chance that's being said for fear of retribution?","questioning"
"553213579672178689","@BreakingNews @AFP @MelissaBellF24 How stupid http://t.co/L4WURw0G0e","questioning"
"500500740163383299","@TheDailyEdge LOL!#Ferguson","commenting"
"500298524953939969","“@NBCNews: Photos of alleged robbery involving Michael Brown in #Ferguson (via police) http://t.co/3qF72azC70 http://t.co/7rX2u40Jmv” 😒😒","commenting"
"500354972366942210","“@ComplexMag: In 2009, #Ferguson police beat a man and charged him for bleeding on them: http://t.co/bpTvrNnGWM”  bloods a pain to get out","commenting"
"544285782639267840","@mscott @vornothecat Ta, trying that one too.  I'm on this one https://t.co/gAjNMIZvAT","commenting"
"500298752469770240","Shoot unarmed kid.
Conceal evidence.
Impose martial law.
Harass reporters.
Smear the victim.
Worst. Police. Ever.
#Ferguson #MikeBrown","support"
"552816726144864258","@DaliaChai @Chusid2015 @cnnbrk yes because islam is true religion. They don't take Bullshit from fools like Charlie Have died.","commenting"
"500301494193627136","@DanteB4u Absolutely my point!!  @orangeseahorse","commenting"
"499448422127394816","@my2bits4u @DMeralles @clydetheslyde http://t.co/u8QxZ0Dv60","questioning"
"553591570680004608","“@AFPphoto: Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP http://t.co/XOv27tMJ3t”

Schaut genau hin!","support"
"499435314373734400","@clydetheslyde you have the right to remain silent but isn't that how we ended up here? #Ferguson http://t.co/SErbzckzdX","commenting"
"525030741252767744","@FlemosKing @BBCBreaking Hey ill give you one.   Ill take the other dozen.","commenting"
"524938564866682880","@Ahmed__Hussain_ @ummsalama15_ Some media owned by Jews. Some by Christians. Many by Muslims. You just have 2 have actually worked","commenting"
"525299114922496000","@JMBlais1 @HfxRegPolice @MikeSavageHFX 
#heroesinlifenotdeath","commenting"
"500303993805889537","@DorothyKidd1 Absolutely!  @DanteB4u @Maggyw519 @orangeseahorse","questioning"
"524968082083958784","@Russell_Barth @dmatthewmillar @devo1400 @spaikin Ah true. Problem now is we'll probably only get coroner's details 😁 they won't make it.","questioning"
"544284075721494528","“@PzFeed: BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag http://t.co/rNyV1Yulxw http://t.co/tF52hwM5FG”","support"
"500285798089252865","@Sbragg420 @DIANAZOGA that's problematic.","commenting"
"553513937246097408","@cnni Good. Some assistance please Messieurs Les Gendarmes !","commenting"
"553588519848132609","“@cnnbrk: Police taking people out of #Paris grocery where hostages were being held. http://t.co/8fzO3SgfaO” Prayers","commenting"
"553703181440786435","@snowytristan , Hi Betty.. You are in Australia?","questioning"
"553521412934475777","Capturing them alive wd ruin their plan “@AP French terror suspects want to be martyrs; are holed up north of Paris: http://t.co/qj4T411Nyf”","commenting"
"525057584416292867","@Telegraph @20committee the price we pay for allowing Muslim 5th Columns to roam freely in the West. Enough.","commenting"
"529702311111983104","@ianallen169 @PrincePartyUK @Stazie_15 @TorontoComms @3RDEYEGIRL and boy did we know how to queue mate.","commenting"
"544279084939767808","Actually debate on the flag @AFP: #BREAKING Hostages held inside Sydney cafe, Islamic flag held up”","commenting"
"524974387125317633","@LindaFrum @affanchowdhry  absolutely!","support"
"553587741720854528","@FridhKleberg @AFP If so that hostage will be the person best able to give an insight into the attack, if the suspects were responsible...","questioning"
"544395913507004416","@cnni I thought police asked media not to report demands. Why you giving these terrorists a voice?","questioning"
"544282227035869184","BREAKING NEWS: Gunmen take hostages at Sydney cafe, wave Islamic flag http://t.co/zmSo3ARDVs http://t.co/HFW40OyVUz","support"
"524971261005660160","@PrideSky @CBCAlerts You should see how many have retweeted and favourited my tweet. I think I am expressing what a lot want to. Wake up!!","commenting"
"500356749342560256","@ComplexMag Pretty simple 2 see that #FergusonPoliceDepartment is #RACIST, they have shown that 2 the whole world! #BlackLivesMatter","commenting"
"500366091659784192","@ZerlinaMaxwell @TopCat_TC You're CHOOSING to talk about a ""robbery"" based on a tape that only shows a confrontation not a crime. So stop!","questioning"
"500283469864239104","@TheAnonMessage2 OMG this IS a police state, if this was true,the Nazi #Police wouldve already put this out there they are #GraspingAtStraws","commenting"
"500324845427916800","@AkaDimiX legally speaking it doesn't matter. the question of reasonable fear is at issue + the krauts were definitely afraid of my grandpa.","denying"
"552842578539073537","@AwakeDeborah @MashableNews so sad","commenting"
"524969503499616256","@DaryusAzad @CBCAlerts @CBCNews @JustinTrudeau are you for real?","commenting"
"544277631990898688","@Does_It_Mata @BBCWorld Like I said it's directly across from a big news channel.","support"
"529827763855704064","@CBCNews @PrinceNewsUSA 💜💜💜💜💜💜💜💜💜💜O(+&gt;","commenting"
"524952535548063745","@CynleeF @CBCAlerts This is the second soldier killed this week by possible ""terrorists"" now under investigation.","commenting"
"524971253388816385","@globeandmail R.I.P🙏","commenting"
"500290943849725952","@mashable If this is real, I feel one of those #aweshit moments coming on both sides, the neighborhood and the police.","commenting"
"553178733059002368","@BBCtrending @RosieBarton @LucilleClerc Bullets will never stop the PEN!","commenting"
"553587039598571523","@KayBurley best news I have heard, Kay you are doing an amazing job thank you","support"
"500283123532570624","@DIANAZOGA wait a min, I thought they said he was a good boy?","commenting"
"553187846035873793","""@SkyNews: The #CharlieHebdo attack suspects have reportedly fired shots while robbing a petrol station http://t.co/tsAnzcpItl #Thieves","support"
"544284536570662914","@SkyNews or are they simply waiting to be served","commenting"
