,tweet_content,harassment,IndirectH,PhysicalH,SexualH
0,pics mexican school girl naked melanie safka fake nude photos hardcore slut movies alicia moore porn star toon love ,1,0,0,1
1,RT shereiqns Having curly hair is a gotdamn chore Do not let the internets fool you ok ,0,0,0,0
2, BreakingNews 7 Unexplained Prisoners Deaths Murder amp 50 Attempted Suicides samswey shacking Sifill LDF ,0,0,0,0
3, girl dirty quarterback latino pokemon young handjob kissing gangbang w x89 t co Wrm4xo00vJ ,1,0,0,1
4, miliondollameat sexting n ngirl daddy n nme listen bitch gonna watch these what ,1,0,0,1
5, Ella939Ella vickycornell vickycornell is grieving Chris is dead she has kids to care for a mom to support amp s ,0,0,0,0
6, museum slut If you know somewhere we can do it THEN I AM GAME,1,0,0,1
7,RT sp00kybitchhhh I have spots open Sissy Slut Intox bitch Human ATM Amazon boy Do you have what it takes Can you live up to my ,1,0,0,1
8, SarahSpain Pretty sure this one isn t good at doing research amp finding hints amp clues ,0,0,0,0
9,RT nadiaistoocool hi peyt thanks for being my best friend amp biggest pain in the ass you re going to do great things and i m excited to ,0,0,0,0
10, Cervantes1127 can x89 t shamer struggle t co IR6VjyuzkA ,0,0,0,0
11, venus astrology living standards nIt x89 s illusion I x89 m fucking nWaiting waiting WAI x89 ,1,0,0,1
12,watched scary while back while scene again brain scare o x89 t co rm8n6IZ9qw ,0,0,0,0
13,add me on Snapchat and watch me cum coltoe8 sendnudes nude nudes snapchat girls boobs pussy horny ,1,0,0,1
14,RT olesmeha86 He need me to eat his dick because eat dick it s my skill slut ass dick cock jailbait bbc gangbang cuckold ,1,0,0,1
15, Drew s sexting show nTripping balls effects Nyquil overdose ,0,0,0,0
16, NightmareAlt Luke REDACTED Okay turn What x89 s alley Sexting shitty im x89 t co 81chEW1P3B ,0,0,0,0
17,RT tiapogai51 Please sleep i will do it for you guy gt register Note Verify Email to send msg to girls slut ,1,0,0,1
18,RT mylifeasmo I really am a slut for friendship I tell ya,0,0,0,0
19,years called horse face sister partner x89 s amp that x89 s prompted the x89 t co tGjDZytwTf ,0,0,0,0
20,RT nsfw bitches Imagine your cute little sub on their knees sucking your cock softly They bat their eyes and stop sucking You grab thei ,1,0,0,1
21, MULTlEXO can t bitch t co gWhiXGdZx8 ,1,0,0,1
22,NeuroLoveology The Power to Mindful Love amp Sex by Ava Cadell on bloglovin,0,0,0,0
23, Reality prozzie mouth n t co FQb3nyiTP1 underage cumshot movies bustyhardcorebabes european girl x89 t co VskCtsyQEO ,1,0,0,1
24, PaigeMcMath you re still slut brain automatically tweet me ,1,0,0,1
25,My point The internet needs chill J messed up but she don t deserve this crazy internet hate Kardashian s will f ,0,0,0,0
26,hey bitches rt to be in a kpop gc be a bad bitch dont be problematic dont be sensitive tbz skz and nct stan ,1,0,0,1
27,seriously my favorite fucking concept I CANT STOP IM SUPPOSED TO BE WATCHING ALIEN,0,0,0,0
28,mistake gamergate where helps build career comes pussy bitch shit ,0,0,0,0
29,i prefer guy friends than girl friends im not slut or flirt but i feel more secure when i m with my guy friends feel me hahahaha,1,0,0,1
30, kalysta beaver hoe slut shaming other girls low talking about people ,1,0,0,1
31,RT dw1509 This week s Shootaround features 14 drain ava hassel connormullins5 lifeofmablo TreyRobertson 4 amp much more ,0,0,0,0
32, Patii Fittii sassy bitch t co nCXul52Z86 ,1,0,0,1
33,Allow people to be happy If a dude or a girl decides to be a slut wtf is your problem Certainly not your ding dong or cookie jar ,1,0,0,1
34, Straight friends amp amp fuck n t co bUw5RaE0Pp aadivasi fucking sucking breast xx x89 t co ponZGj6wis ,1,0,0,1
35,RT computer screen Im a whore for my job a big slut for it I love it and i love getting fucked by my trabajo Shes sucha bitch thinki ,1,0,0,1
36, TadpoleTriplett jeff liebermann SarahSpain ToddBrommelkamp SpainandFitz jasonfitz Brah Too harsh ,0,0,0,0
37, space bear Fighter Shownu treat Everyone chopped cropped buff looked w x89 ,0,0,0,0
38, PerezHilton I knew it and I called it when all you bitches ya ll all said he was a MAGA victim I knew he was a ,1,0,0,1
39, CupOfCancer AlmightyJoeyy should ready defend myself nidc x89 t co 0IcldiudhR ,0,0,0,0
40, femdom unexpected cumshot virgin escort lesbian sisters drunk young anime fuck x89 t co xXW8fr7Kk1 ,1,0,0,1
41,Nancy amp Chuck have done it again Watch their rebuttal to the president s false claims of a national emergenc ,0,0,0,0
42,Got Starbucks this morning amp Ava finished my drink ,0,0,0,0
43,one time my friend did this in school while our teacher was discussing she notices her doing THAT and called her ,0,0,0,0
44,RT blckexcelllence Y all a white girl from my school fucked a dog and posted a video of her doin it on her Snapchat story ,1,0,0,1
45,Check out Ava amp Viv Plus Size Black Open Front Rayon Blend Long Sleeve Cardigan Sweater 3X AvaViv via eBay,0,0,0,0
46, The world cannot since because denounce it x89 nt co e6jdJjQg5m ,0,0,0,0
47,Ava and Sylvie wish we knew more about them Kevin really wanting to know amp see more of his character With the c ,0,0,0,0
48,When I pop up with a man I don t wanna hear niggas say that s crazy fuck up,0,0,0,0
49,RT shanayirenee people always saying I look mad bitch this my face,0,0,0,0
50, yngmojo Niggas supreme shoulder x89 can x89 t don x89 t match fly x89 x9d ,0,0,0,0
51,RT Lymperatore weirdobutokay GaMtGirl1969 Felonious munk exactly imagine if when a girl compliments me i d say yooo what i m not ,0,0,0,0
52, lesbians tribbing latinas porno celebrity fucking uncensored hentai first ce x89 t co 964XMPddzx ,1,0,0,1
53,THIS is why brendatracy24 s story amp work are so important There are people out there who will refuse to believe a ,0,0,0,0
54, Zero still stronger x89 nigger stupid waifu headlock t co HFMEpLxuDU ,0,0,0,0
55, TaimoorBaig162 Dicks chopped public these innocent child ,0,0,0,0
56, I x89 ve opened accepted bitch friendly little whore can x89 t i x89 t co JNWaQF6dHy ,0,0,0,0
57,You would like that uh babygirl Your moans and your whines echoing in the bathroom as I finger you in the shower ,1,0,0,1
58,RT LKing20569301 charliekirk11 This Kampala Harris She really believes that she has a chance because she is a woman Blackish and a slut ,1,0,0,1
59,RT ilovechronicbud Do you ever get mad at the munchies I ll be overstuffed and bitching that slut little Debbie is always seducing me ,1,0,0,1
60, SpectatorTM time bumper sticker Slut life the x89 t co OEJIhW7WWm ,1,0,0,1
61, baddknews nigga can x89 t nomo gettin chopped ,1,0,0,1
62,RT tany vander fucking my wife fuck my ass XXX forced sex videos Xnxx com Anulingus XXX p XXX Porn Anulingus XXX porno video hd mob ,1,0,0,1
63,Ava devine u bitch ass slut where da fuck is my fuckin money u god damn fuckin bitch,1,0,0,1
64,Meet Laura Steven screenwriter journalist amp author of The Exact Opposite of OK the hilarious but honest look a ,0,0,0,0
65,RT fuckitupanj alxdavilaa dis was Ava ,0,0,0,0
66,christina christina christinas gone ya little tramp didn t leave any money to pay her so she left like a ,0,0,0,0
67, got another night getting absolutely mortal planned gonna dance socks fishnets depend x89 t co 14FQ7GhNNH ,0,0,0,0
68,RT Hinaholics Pak One of Most Hilarious moment of Bb11 when biggboss scolded eyehinakhan amp BenafshaSoona for talking in English Glorio ,0,0,0,0
69, ESPECIALLY you x89 re shames other girls ,0,0,0,0
70, deepthroat cumshot perfect boobs jewish indian pussy naked lesbians japanese beaut x89 t co gFwxstN2fk ,1,0,1,0
71,Babes I m online on sparkleee19 chaturbate schoolgirl stockings sissy dildo ,0,0,0,0
72,RT nctcandles Is it ever okay to use gay as an insult Ex I hate that teacher so fucking much shes so gay like yes rt no tryna ,1,0,0,1
73, askmf why y all so triggered with korean ava lmao i use bobby as my avatar amp never for a second tweet anything re ,0,0,0,0
74, joshtpm ava I ll say again The Gov t shutdown is the master plan devised by Russia amp Trump to topple the U S Th ,0,0,0,0
